Biophotonics international,Osteoporosis International,0.6538461538461539
"Image Processing, IEEE Transactions on",Geochemical Transactions,0.4473684210526315
"Medical Imaging, IEEE Transactions on",Materials Transactions Jim,0.43243243243243246
Journal of Biomedical Optics,Journal of Biomedical Optics,1.0
"Visualization and Computer Graphics, IEEE Transactions on",Journal of Visualization and Computer Animation,0.38596491228070173
Current eye research,Current Eye Research,0.9
Journal of Cell Science,Journal of Cell Science,1.0
Documenta Ophthalmologica,Documenta Ophthalmologica,1.0
"Zeitschrift f{\""u}r Zellforschung und Mikroskopische Anatomie",Zeitschrift Fur Mikroskopisch-Anatomische Forschung,0.3770491803278688
Frontiers in Optics,Frontiers in Genetics,0.8095238095238095
Nature Reviews Genetics,Nature Genetics,0.6521739130434783
Nature Biotechnology,Nature Biotechnology,1.0
Ophthalmic Epidemiology,Genetic Epidemiology,0.6521739130434783
Experimental Eye Research,Experimental Eye Research,1.0
American journal of ophthalmology,American Journal of Ophthalmology,0.9393939393939394
Journal of General Physiology,Journal of General Physiology,1.0
Nature Reviews Neuroscience,Nature Neuroscience,0.7037037037037037
"D. Blank (ed.) Proceedings of the 2000 Midwest AI and Cognitive Society
	Conference",Proceedings of the Lunar and Planetary Science Conference,0.49397590361445787
Unifying Themes in Complex Systems,Theory of Computing Systems,0.4411764705882353
Journal of Applied Physiology,Journal of Applied Physiology,1.0
Ophthalmic Technologies XVII,Ophthalmic Genetics,0.5357142857142857
Transactions of the American Ophthalmological Society,Transactions of the American Ophthalmological Society,1.0
Journal of Ultrastructure Research,Journal of Ultrastructure Research,1.0
American Journal of Anatomy,American Journal of Anatomy,1.0
Current Eye Research,Current Eye Research,1.0
Annual Review of Physiology,Annual Review of Physiology,1.0
Biophysical Journal,Biophysical Journal,1.0
Journal of Physiology,Journal of Phycology,0.9047619047619048
FEBS Journal,Sas Journal,0.6666666666666667
Journal of Cell Biology,Journal of Cell Biology,1.0
Optical Engineering,Optical Engineering,1.0
American Journal of Ophthalmology,American Journal of Ophthalmology,1.0
Scandinavian Journal of Optometry and Visual Science,Scandinavian Journal of Laboratory Animal Science,0.7692307692307692
Canadian Journal of Chemistry,Canadian Journal of Biochemistry,0.875
Nature Neuroscience,Nature Neuroscience,1.0
Biochimica et Biophysica Acta,Biochimica Et Biophysica Acta,0.9655172413793104
Neuron,Asn Neuro,0.4444444444444444
Annual Review of Neuroscience,Annual Review of Neuroscience,1.0
Trends in Optics and Photonics,Trends in Amplification,0.4666666666666667
The Journal of general physiology,The Journal of General Physiology,0.9393939393939394
"Ophthalmic Surgery, Lasers \& Imaging Retina",Ophthalmic Surgery and Lasers,0.5227272727272727
Nature,Acta Naturae,0.5
PLoS One,Plos One,0.75
Optics Communications,Optics Communications,1.0
Physiological Reviews,Physiological Reviews,1.0
Japanese Journal of Ophthalmology,Japanese Journal of Ophthalmology,1.0
Society of General Physiologists Series,Journal of General Physiology,0.5641025641025641
"Reviews of Physiology, Biochemistry, and Pharmacology","Reviews of Physiology, Biochemistry and Pharmacology",0.9811320754716981
Behavioural brain research,Behavioural Brain Research,0.9230769230769231
Human Molecular Genetics,Human Molecular Genetics,1.0
Biochimica et Biophysica Acta-Biomembranes,Biochimica Et Biophysica Acta-Biomembranes,0.9761904761904762
Applied Optics,Applied Optics,1.0
"Proceedings of the Royal Society of London, Series B, Biological Sciences",Proceedings of the Royal Society of London Series B-Biological Sciences,0.9589041095890412
Ophthalmic and Physiological Optics,Ophthalmic and Physiological Optics,1.0
Archives of Ophthalmology,Archives of Ophthalmology,1.0
Experimental eye research,Experimental Eye Research,0.92
Nature Medicine,Nature Medicine,1.0
Journal of Cerebral Blood Flow and Metabolism,Journal of Cerebral Blood Flow and Metabolism,1.0
Reports on Progress in Physics,Reports on Progress in Physics,1.0
Optometry and Vision Science,Optometry and Vision Science,1.0
Applied optics,Applied Optics,0.9285714285714286
The Visual Transduction Cascade: Basic and Clinical Principles,Breast Cancer : Basic and Clinical Research,0.467741935483871
Journal of Neurophysiology,Journal of Neurophysiology,1.0
Progress in Lipid Research,Progress in Lipid Research,1.0
Nature Genetics,Nature Genetics,1.0
Journal of Modern Optics,Journal of Modern Optics,1.0
Proceedings of SPIE,Proceedings of the Sid,0.6818181818181819
Ophthalmology Clinics of North America,Anesthesiology Clinics of North America,0.8205128205128205
Journal of Vision,Journal of Vision,1.0
Journal of Biological Chemistry,Journal of Biological Chemistry,1.0
Biomedical Optics 2004,Biomedical Optics Express,0.72
Journal of Neuroscience,Journal of Neuroscience,1.0
Biophysics of Structure and Mechanism,Biophysics of Structure and Mechanism,1.0
New England Journal of Medicine,New England Journal of Medicine,1.0
Journal of Clinical Investigation,Journal of Clinical Investigation,1.0
Trends in Biochemical Sciences,Trends in Biochemical Sciences,1.0
European Biophysics Journal,European Biophysics Journal,1.0
Trends in neurosciences(Regular edition),Trends in Neurosciences,0.55
Quantum Electronics,Quantum Electronics,1.0
Methods Enzymol,Methods in Enzymology,0.7142857142857143
Journal of Neuroscience Methods,Journal of Neuroscience Methods,1.0
"Signal Processing, IEEE Transactions on [see also Acoustics, Speech,
	and Signal Processing, IEEE Transactions on]",Ieee Transactions on Acoustics Speech and Signal Processing,0.48245614035087714
"Proceedings of the Royal Society of London. Series B, Biological
	Sciences",Proceedings of the Royal Society of London Series B-Biological Sciences,0.9324324324324325
Photochemistry and Photobiology,Photochemistry and Photobiology,1.0
Physics Today,Physics Today,1.0
Proceedings of the National Academy of Sciences,Proceedings of the Indian Academy of Sciences-Plant Sciences,0.65
Journal of Experimental Medicine,Journal of Experimental Medicine,1.0
Acta Opthalmologica Scandinavica,Acta Ophthalmologica Scandinavica,0.9696969696969697
Biochemistry,Bmc Biochemistry,0.75
Applied Physics Letters,Applied Physics Letters,1.0
Physics in Medicine and Biology,Physics in Medicine and Biology,1.0
Current Opinion in Neurobiology,Current Opinion in Neurobiology,1.0
Chinese Optics Letters,Chinese Physics Letters,0.8260869565217391
Acta Biophysica Sinica,Acta Geophysica Sinica,0.9090909090909091
88th Optical Society of America Anual Meeting,Geological Society of America Bulletin,0.6666666666666667
Journal of Membrane Biology,Journal of Membrane Biology,1.0
Nature neuroscience,Nature Neuroscience,0.9473684210526316
Journal of Refractive Surgery,Journal of Refractive Surgery,1.0
The Journal of General Physiology,The Journal of General Physiology,1.0
Survey of Ophthalmology,Survey of Ophthalmology,1.0
Cell and tissue research,Cell and Tissue Research,0.9166666666666666
Biological Rhythm Research,Biological Rhythm Research,1.0
Lasers and Light in Ophthalmology,Case Reports in Ophthalmology,0.6363636363636364
Molecular vision,Molecular Vision,0.9375
Neuroimage,Neuroimage Neuroimage,0.47619047619047616
Progress in biomedical optics and imaging,Progress in Medical Genetics,0.5121951219512195
Optometry and vision science: official publication of the American Academy of Optometry,Protein Science : A Publication of the Protein Society,0.4252873563218391
Retina Specialist,American Scientist,0.4444444444444444
Electronics Letters,Electronics Letters,1.0
Nature Photonics,Nature Genetics,0.625
IEEE journal of selected topics in quantum electronics : a publication of the IEEE Lasers and Electro-optics Society,Ieee Journal of Selected Topics in Quantum Electronics,0.39655172413793105
