long_title,short_title
Acta Agriculturae Scandinavica Section B-Soil and Plant Science,Acta Agr Scand B-S P
Acta Agronomica Academiae Scientiarum Hungaricae,Acta Agron Hung
Acta Alimentaria,Acta Aliment Hung
Acta Anaesthesiologica Scandinavica,Acta Anaesth Scand
Acta Anatomica,Acta Anat
Acta Applicandae Mathematicae,Acta Appl Math
Acta Arithmetica,Acta Arith
Acta Astronautica,Acta Astronaut
Acta Astronomica,Acta Astronom
Acta Biochimica Et Biophysica Hungarica,Acta Biochim Biophys
Acta Biochimica Et Biophysica Sinica,Acta Bioch Bioph Sin
Acta Biochimica Polonica,Acta Biochim Pol
Acta Biologica Academiae Scientiarum Hungaricae,Acta Biol Acad Sci H
Acta Biologica Cracoviensia Series Botanica,Acta Biol Cracov Bot
Acta Biologica Cracoviensia Series Zoologia,Acta Biol Cracov Zoo
Acta Biologica Et Medica Germanica,Acta Biol Med Ger
Acta Biologica Hungarica,Acta Biol Hung
Acta Bioquimica Clinica Latinoamericana,Acta Bioquim Clin L
Acta Biotechnologica,Acta Biotechnol
Acta Biotheoretica,Acta Biotheor
Acta Botanica Academiae Scientiarum Hungaricae,Acta Bot Hung
Acta Botanica Gallica,Acta Bot Gallica
Acta Botanica Hungarica,Acta Bot Hung
Acta Botanica Indica,Acta Bot Indica
Acta Botanica Neerlandica,Acta Bot Neerl
Acta Botanica Sinica,Acta Bot Sin
Acta Cardiologica,Acta Cardiol
Acta Chemica Scandinavica,Acta Chem Scand
Acta Chemica Scandinavica Series A-Physical and Inorganic Chemistry,Acta Chem Scand A
Acta Chemica Scandinavica Series B-Organic Chemistry and Biochemistry,Acta Chem Scand B
Acta Chimica Academiae Scientarium Hungaricae,Acta Chim Hung
Acta Chimica Hungarica-Models in Chemistry,Acta Chim Hung
Acta Chimica Sinica,Acta Chim Sinica
Acta Chimica Slovenica,Acta Chim Slov
Acta Chirurgiae Plasticae,Acta Chir Plast
Acta Chirurgica Austriaca,Acta Chir Austriaca
Acta Chirurgica Belgica,Acta Chir Belg
Acta Chirurgica Scandinavica,Acta Chir Scand
Acta Chirurgica-The European Journal of Surgery,Acta Chir-Eur J Surg
Acta Cientifica Venezolana,Acta Cient Venez
Acta Clinica Belgica,Acta Clin Belg
Acta Crystallographica Section A,Acta Crystallogr A
Acta Crystallographica Section B-Structural Science,Acta Crystallogr B
Acta Crystallographica Section C-Crystal Structure Communications,Acta Crystallogr C
Acta Crystallographica Section D-Biological Crystallography,Acta Crystallogr D
Acta Cytologica,Acta Cytol
Acta Dermato-Venereologica,Acta Derm-Venereol
Acta Diabetologica,Acta Diabetol
Acta Diabetologica Latina,Acta Diabetol Lat
Acta Electronica,Acta Electron
Acta Endocrinologica,Acta Endocrinol-Cop
Acta Entomologica Bohemoslovaca,Acta Entomol Bohemos
Acta Entomologica Sinica,Acta Entomol Sinica
Acta Facultatis Rerum Naturalium Universitatis Comenianae Series Physiologia Plantarum,Acta Fac Rerum Phy
Acta Facultatis Rerum Naturalium Universitatis Comenianae Series Zoologia,Acta Fac Rerum Zoo
Acta Gastro-Enterologica Belgica,Acta Gastro-Ent Belg
Acta Geneticae Medicae Et Gemellologiae,Acta Genet Med Gemel
Acta Geologica Sinica,Acta Geol Sin-Engl
Acta Geologica Sinica-English Edition,Acta Geol Sin-Engl
Acta Geophysica Sinica,Acta Geophys Sinica
Acta Haematologica,Acta Haematol-Basel
Acta Haematologica Japonica,Acta Haematol Japon
Acta Histochemica,Acta Histochem
Acta Histochemica Et Cytochemica,Acta Histochem Cytoc
Acta Hydrochimica Et Hydrobiologica,Acta Hydroch Hydrob
Acta Informatica,Acta Inform
Acta Materialia,Acta Mater
Acta Mathematica,Acta Math-Djursholm
Acta Mathematica Academiae Scientiarum Hungaricae,Acta Math Acad Sci H
Acta Mathematica Hungarica,Acta Math Hung
Acta Mathematica Scientia,Acta Math Sci
Acta Mathematica Sinica-English Series,Acta Math Sin
Acta Mathematica Sinica-New Series,Acta Math Sin
Acta Mechanica,Acta Mech
Acta Mechanica Sinica,Acta Mech Sinica
Acta Mechanica Solida Sinica,Acta Mech Solida Sin
Acta Medica Academiae Scientiarum Hungaricae,Acta Med Hung
Acta Medica Austriaca,Acta Med Aust
Acta Medica Hungarica,Acta Med Hung
Acta Medica Okayama,Acta Med Okayama
Acta Medica Polona,Acta Med Pol
Acta Medica Scandinavica,Acta Med Scand
Acta Metallurgica,Acta Metall Mater
Acta Metallurgica Et Materialia,Acta Metall Mater
Acta Microbiologica Academiae Scientiarum Hungaricae,Acta Microbiol Hung
Acta Microbiologica Hungarica,Acta Microbiol Hung
Acta Microbiologica Polonica,Acta Microbiol Pol
Acta Morphologica Academiae Scientiarum Hungaricae,Acta Morphol Hung
Acta Morphologica Hungarica,Acta Morphol Hung
Acta Morphologica Neerlando-Scandinavica,Acta Morphol Neer Sc
Acta Mozartiana,Acta Mozartiana
Acta Musicologica,Acta Musicologica
Acta Neurobiologiae Experimentalis,Acta Neurobiol Exp
Acta Neurochirurgica,Acta Neurochir
Acta Neurologica,Acta Neurol
Acta Neurologica Belgica,Acta Neurol Belg
Acta Neurologica Scandinavica,Acta Neurol Scand
Acta Neuropathologica,Acta Neuropathol
Acta Neuropsychiatrica,Acta Neuropsychiatr
Acta Obstetrica Et Gynaecologica Japonica,Acta Obstet Gyn Jpn
Acta Obstetricia Et Gynecologica Scandinavica,Acta Obstet Gyn Scan
Acta Odontologica Scandinavica,Acta Odontol Scand
Acta Oecologica-International Journal of Ecology,Acta Oecol
Acta Oecologica-Oecologia Applicata,Acta Oecol-Oec Appl
Acta Oecologica-Oecologia Generalis,Acta Oecol-Oec Gen
Acta Oecologica-Oecologia Plantarum,Acta Oecol-Oec Plant
Acta Oeconomica,Acta Oecon
Acta Oncologica,Acta Oncol
Acta Ophthalmologica,Acta Ophthalmol
Acta Ophthalmologica Scandinavica,Acta Ophthalmol Scan
Acta Orthopaedica Scandinavica,Acta Orthop Scand
Acta Oto-Laryngologica,Acta Oto-Laryngol
Acta Paediatrica,Acta Paediatr
Acta Paediatrica Japonica,Acta Paediatr Japon
Acta Paediatrica Scandinavica,Acta Paediatr Scand
Acta Palaeontologica Polonica,Acta Palaeontol Pol
Acta Parasitologica,Acta Parasitol
Acta Pathologica Et Microbiologica Scandinavica Section A-Pathology,Acta Path Micro Im A
Acta Pathologica Et Microbiologica Scandinavica Section B-Microbiology,Acta Path Micro Im B
Acta Pathologica Et Microbiologica Scandinavica Section C-Immunology,Acta Path Micro Im C
Acta Pathologica Japonica,Acta Pathol Japon
Acta Pathologica Microbiologica Et Immunologica Scandinavica Section A-Pathology,Acta Path Micro Im A
Acta Pathologica Microbiologica Et Immunologica Scandinavica Section B-Microbiology,Acta Path Micro Im B
Acta Pathologica Microbiologica Et Immunologica Scandinavica Section C-Immunology,Acta Path Micro Im C
Acta Pharmaceutica,Acta Pharmaceut
Acta Pharmaceutica Jugoslavica,Acta Pharm Jugosl
Acta Pharmaceutica Nordica,Acta Pharm Nordica
Acta Pharmaceutica Suecica,Acta Pharm Suec
Acta Pharmaceutica Technologica-International Journal of Drug Forumlation and Biopharmaceutics,Acta Pharm Technol
Acta Pharmacologica Et Toxicologica,Acta Pharmacol Tox
Acta Pharmacologica Sinica,Acta Pharm Sinic
Acta Physica Academiae Scientiarum Hungaricae,Acta Phys Hung
Acta Physica Austriaca,Acta Phys Austriaca
Acta Physica Et Chemica,Acta Phys Chem
Acta Physica Hungarica,Acta Phys Hung
Acta Physica Hungarica New Series-Heavy Ion Physics,Acta Phys Hung Ns-H
Acta Physica Polonica A,Acta Phys Pol A
Acta Physica Polonica B,Acta Phys Pol B
Acta Physica Sinica,Acta Phys Sin-Ch Ed
Acta Physica Sinica-Overseas Edition,Acta Phys Sin-Ov Ed
Acta Physica Slovaca,Acta Phys Slovaca
Acta Physico-Chimica Sinica,Acta Phys-Chim Sin
Acta Physiologiae Plantarum,Acta Physiol Plant
Acta Physiologica Academiae Scientiarum Hungaricae,Acta Physiol Hung
Acta Physiologica Et Pharmacologica Latinoamericana,Acta Physiol Pharm L
Acta Physiologica Hungarica,Acta Physiol Hung
Acta Physiologica Latinoamericana,Acta Physiol Lat Am
Acta Physiologica Scandinavica,Acta Physiol Scand
Acta Phytopathologica Academiae Scientiarum Hungaricae,Acta Phytopathol Hun
Acta Phytopathologica Et Entomologica Hungarica,Acta Phytopathol Hun
Acta Poloniae Historica,Acta Pol Hist
Acta Poloniae Pharmaceutica,Acta Pol Pharm
Acta Polymerica,Acta Polym
Acta Polymerica Sinica,Acta Polym Sin
Acta Polytechnica Scandinavica-Applied Physics Series,Acta Polytech Sc Ap
Acta Polytechnica Scandinavica-Chemical Technology Series,Acta Polytech Sc Ch
Acta Polytechnica Scandinavica-Civil Engineering and Building Construction Series,Acta Polytech Sc Ci
Acta Polytechnica Scandinavica-Electrical Engineering Series,Acta Polytech Sc El
Acta Polytechnica Scandinavica-Mathematics and Computer Science Series,Acta Polytech Sc Ma
Acta Polytechnica Scandinavica-Mechanical Engineering Series,Acta Polytech Sc Me
Acta Protozoologica,Acta Protozool
Acta Psychiatrica Scandinavica,Acta Psychiat Scand
Acta Psychologica,Acta Psychol
Acta Radiologica,Acta Radiol
Acta Radiologica Oncology,Acta Oncol
Acta Radiologica-Diagnosis,Acta Radiol
Acta Scientiarum Mathematicarum,Acta Sci Math
Acta Societatis Botanicorum Poloniae,Acta Soc Bot Pol
Acta Sociologica,Acta Sociol
Acta Technica Academiae Scientiarum Hungaricae,Acta Tech Hung
Acta Therapeutica,Acta Therap
Acta Theriologica,Acta Theriol
Acta Tropica,Acta Trop
Acta Veterinaria Academiae Scientiarum Hungaricae,Acta Vet Acad Sci H
Acta Veterinaria Brno,Acta Vet Brno
Acta Veterinaria Hungarica,Acta Vet Hung
Acta Veterinaria Scandinavica,Acta Vet Scand
Acta Veterinaria-Beograd,Acta Vet-Beograd
Acta Virologica,Acta Virol
Acta Zoologica,Acta Zool-Stockholm
Acta Zoologica Academiae Scientiarum Hungaricae,Acta Zool Acad Sci H
Acta Zoologica Et Pathologica Antverpiensia,Acta Zool Pathol Ant
Acta Zoologica Hungarica,Acta Zool Hung
Acta Zoologica Sinica,Acta Zool Sinica
Actas Espanolas De Psiquiatria,Actas Esp Psiquiatri
Actas Luso-Espanolas De Neurologia Psiquiatria Y Ciencias Afines,Actas Luso-Esp Neur
Actes De La Recherche En Sciences Sociales,Actes Rech Sci Soc
Activitas Nervosa Superior,Activ Nerv Super
Actualite Chimique,Actual Chimique
Actualites Odonto-Stomatologiques,Actual Odonto-Stomat
Acupuncture & Electro-Therapeutics Research,Acupuncture Electro
Acustica Acustica,Acustica Acustica
Acute Care,Acute Care
Adapted Physical Activity Quarterly,Adapt Phys Act Q
Adaptive Behavior,Adapt Behav
Adaptive Processing of Sequences and Data Structures,Lect Notes Artif Int
Addiction Addiction,Addiction Addiction
Addiction Biology,Addict Biol
Addiction Research,Addict Res
Addictive Behaviors,Addict Behav
Adhesives Age,Adhes Age
Administration & Society,Admin Soc
Administration and Policy in Mental Health,Adm Policy Ment Hlth
Administration in Social Work,Admin Soc Work
Administrative Law Review,Admin Law Rev
Administrative Science Quarterly,Admin Sci Quart
Adolescence Adolescence,Adolescence Adolescence
Adolescent and Pediatric Gynecology,Adolescent Pediat G
Adolescent Psychiatry,Adolescent Psychiat
Adsorption Science & Technology,Adsorpt Sci Technol
Adsorption-Journal of the International Adsorption Society,Adsorption Adsorption
Adult Education Quarterly,Adult Educ Quart
Advanced Cement Based Materials,Adv Cem Based Mater
Advanced Ceramic Materials,Adv Ceram Mater
Advanced Composite Materials,Adv Compos Mater
Advanced Composites Letters,Adv Compos Lett
Advanced Drug Delivery Reviews,Adv Drug Deliver Rev
Advanced Materials,Adv Mater
Advanced Materials & Processes,Adv Mater Process
Advanced Materials for Optics and Electronics,Adv Mater Opt Electr
Advanced Performance Materials,Adv Perform Mater
Advanced Powder Technology,Adv Powder Technol
Advanced Robotics,Adv Robotics
Advances in Agronomy,Adv Agron
Advances in Anatomic Pathology,Adv Anat Pathol
Advances in Anatomy Embryology and Cell Biology,Adv Anat Embryol Cel
Advances in Applied Mathematics,Adv Appl Math
Advances in Applied Mechanics,Adv Appl Mech
Advances in Applied Microbiology,Adv Appl Microbiol
Advances in Applied Probability,Adv Appl Probab
Advances in Atmospheric Sciences,Adv Atmos Sci
Advances in Atomic and Molecular Physics,Adv Atom Mol Phys
Advances in Atomic Molecular and Optical Physics,Adv Atom Mol Opt Phy
"Advances in Atomic, Molecular, and Optical Physics",Adv Atom Mol Opt Phy
Advances in Behavioral Pharmacology,Adv Behav Pharmacol
Advances in Behaviour Research and Therapy,Adv Behav Res Ther
Advances in Biochemical Psychopharmacology,Adv Biochem Psychoph
Advances in Biophysics,Adv Biophys
Advances in Bladder Research,Adv Exp Med Biol
Advances in Botanical Research,Adv Bot Res
Advances in Botanical Research Incorporating Advances in Plant Pathology,Adv Bot Res
Advances in Brain Vasopressin,Prog Brain Res
Advances in Cancer Research,Adv Cancer Res
Advances in Carbohydrate Chemistry and Biochemistry,Adv Carbohyd Chem Bi
Advances in Case-Based Reasoning,Lect Notes Artif Int
Advances in Catalysis,Adv Catal
Advances in Cement Research,Adv Cem Res
Advances in Chemical Conversions for Mitigating Carbon Dioxide,Stud Surf Sci Catal
Advances in Chemical Physics,Adv Chem Phys
Advances in Chemistry Series,Adv Chem Ser
Advances in Child Development and Behavior,Adv Child Dev Behav
Advances in Chromatography,Adv Chromatogr
"Advances in Cirrhosis, Hyperammonemia, and Hepatic Encephalopathy",Adv Exp Med Biol
Advances in Clinical Chemistry,Adv Clin Chem
Advances in Clinical Child Psychology,Adv Clin Child Psych
Advances in Colloid and Interface Science,Adv Colloid Interfac
Advances in Comparative Physiology and Biochemistry,Adv Comp Physiol Bio
Advances in Computational Mathematics,Adv Comput Math
Advances in Computers,Adv Comput
Advances in Consumer Research,Adv Consum Res
Advances in Contraception,Adv Contracept
Advances in Crystal Growth,Mater Sci Forum
Advances in Cyclic Nucleotide and Protein Phosphorylation Research,Adv Cyclic Nucl Prot
Advances in Cyclic Nucleotide Research,Adv Cyclic Nucl Res
Advances in Earth Oriented Applications of Space Technology,Adv Earth Orient Sp
Advances in Ecological Research,Adv Ecol Res
Advances in Econometrics,Adv Econom
Advances in Econometrics : A Research Annual,Adv E
Advances in Electrochemistry and Electrochemical Engineering,Adv Electroch El Eng
Advances in Electronics and Electron Physics,Adv Electron El Phys
Advances in Engineering Software,Adv Eng Softw
Advances in Engineering Software and Workstations,Adv Eng Softw Workst
Advances in Environmental Research,Adv Environ Res
Advances in Enzyme Regulation,Adv Enzyme Regul
Advances in Enzymology and Related Areas of Molecular Biology,Adv Enzymol Ramb
Advances in Experimental Medicine and Biology,Adv Exp Med Biol
Advances in Experimental Social Psychology,Adv Exp Soc Psychol
Advances in Food Research,Adv Food Res
Advances in Free Radical Biology and Medicine,Adv Free Radical Bio
Advances in Genetics,Adv Genet
Advances in Genetics Incorporating Molecular Genetic Medicine,Adv Genet
Advances in Geophysics,Adv Geophys
Advances in Heterocyclic Chemistry,Adv Heterocycl Chem
Advances in Human Genetics,Adv Hum Genet
Advances in Hydroscience,Adv Hydrosci
Advances in Imaging and Electron Physics,Adv Imag Elect Phys
Advances in Immunology,Adv Immunol
Advances in Inorganic Biochemistry,Adv Inorg Biochem
Advances in Inorganic Chemistry,Adv Inorg Chem
Advances in Insect Physiology,Adv Insect Physiol
Advances in Internal Medicine,Adv Internal Med
Advances in Lipid Research,Adv Lipid Res
Advances in Liquid Crystals,Adv Liq Cryst
Advances in Magnetic Resonance,Adv Magn Reson
Advances in Marine Biology,Adv Mar Biol
Advances in Mathematics,Adv Math
Advances in Microbial Ecology,Adv Microb Ecol
Advances in Microbial Physiology,Adv Microb Physiol
Advances in Microcirculation,Adv Microcirculat
Advances in Molecular Relaxation and Interaction Processes,Adv Mol Relax Int Pr
Advances in Neuroimmunology,Adv Neuroimmunol
Advances in Neurology,Adv Neurol
Advances in Nuclear Physics,Adv Nucl Phys
Advances in Nursing Science,Adv Nurs Sci
Advances in Nutritional Research,Adv Nutr Res
Advances in Organometallic Chemistry,Adv Organomet Chem
Advances in Oto-Rhino-Laryngology,Adv Oto-Rhino-Laryng
Advances in Pain Research and Therapy,Adv Pain Res Ther
Advances in Parasitology,Adv Parasit
Advances in Pediatric Pulmonology,Pediat Adol
Advances in Pharmacology and Chemotherapy,Adv Pharmacol Chemot
Advances in Physical Organic Chemistry,Adv Phys Org Chem
Advances in Physics,Adv Phys
Advances in Physiology Education,Adv Physiol Educ
Advances in Polyamine Research,Adv Polyamine Res
Advances in Polymer Science,Adv Polym Sci
Advances in Polymer Technology,Adv Polym Tech
Advances in Prostaglandin Thromboxane and Leukotriene Research,Adv Prostag Thromb L
Advances in Protein Chemistry,Adv Protein Chem
Advances in Quantum Chemistry,Adv Quantum Chem
Advances in Radiation Biology,Adv Radiat Biol
Advances in Renal Replacement Therapy,Adv Renal Replace Th
Advances in Second Messenger and Phosphoprotein Research,Adv Sec Mess Phosph
Advances in Services Marketing and Management,Adv Serv Mark Man
Advances in Space Research,Adv Space Res
Advances in Strategic Management,Adv Strateg Manage
Advances in the Study of Behavior,Adv Stud Behav
Advances in Therapy,Adv Ther
Advances in Urethane Science and Technology,Adv Urethane Sci Tec
Advances in Veterinary Medicine Academic Press,Adv Veter Med Ap
Advances in Veterinary Science and Comparative Medicine,Adv Vet Sci Comp Med
Advances in Virus Research,Adv Virus Res
Advances in Water Resources,Adv Water Resour
Advances in X-Ray Analysis,Adv X Ray Anal
Adverse Drug Reactions and Toxicological Reviews,Adverse Drug React T
Aei Automazione Energia Informazione,Aei Autom Energ Inf
Aeronautical Journal,Aeronaut J
Aeronautical Quarterly,Aeronaut Quart
Aerosol Science and Technology,Aerosol Sci Tech
Aerospace Aerospace,Aerospace Aerospace
Aerospace America,Aerospace Am
Aerospace Engineering,Aerospace Eng
Aerospace Science and Technology,Aerosp Sci Technol
Aesthetic Plastic Surgery,Aesthet Plast Surg
Aeu-Archiv Fur Elektronik Und Ubertragungstechnik-International Journal of Electronics and Communications,Aeu-Arch Elektron Ub
Aeu-International Journal of Electronics and Communications,Aeu-Int J Electron C
Aevum-Rassegna Di Scienze Storiche Linguistiche E Filologiche,Aevum-Rass Sci Stor
Affilia-Journal of Women and Social Work,Affilia J Wom Soc Wo
Afinidad Afinidad,Afinidad Afinidad
Afips Conference Proceedings,Afips Conf P
Africa Africa,Africa Africa
Africa Today,Afr Today
African Affairs,Afr Affairs
African American Review,Afr Am Rev
African Arts,Afr Arts
African Economic History,Afr Econ Hist
African Entomology,Afr Entomol
African Journal of Clinical and Experimental Immunology,Afr J Clin Exp Immun
African Journal of Ecology,Afr J Ecol
African Studies,Afr Stud
Age Age,Age Age
Age and Ageing,Age Ageing
Ageing and Society,Ageing Soc
Agenda Agenda,Agenda Agenda
Agents and Actions,Agents Actions
Aggression and Violent Behavior,Aggress Violent Beh
Aggressive Behavior,Aggressive Behav
Aging & Mental Health,Aging Ment Health
Aging and Cognition,Aging Cognition
Aging and Working Capacity,Who Tech Rep Ser
Aging Clock,Ann Ny Acad Sci
Aging Neuropsychology and Cognition,Aging Neuropsychol C
Aging-Clinical and Experimental Research,Aging-Clin Exp Res
Agn/Normal Galaxy Connection,Adv Space Res
Agrartechnik Agrartechnik,Agrartechnik Agrartechnik
Agrartorteneti Szemle,Agrartort Szemle
Agri-Practice Agri-Practice,Agri-Practice Agri-Practice
Agribiological Research-Zeitschrift Fur Agrarbiologie Agrikulturchemie Okologie,Agribiol Res
Agricultura De Las Americas,Agr Am
Agricultural Administration,Agr Admin Ext
Agricultural Administration and Extension,Agr Admin Ext
Agricultural and Biological Chemistry,Agr Biol Chem Tokyo
Agricultural and Food Science in Finland,Agr Food Sci Finland
Agricultural and Forest Meteorology,Agr Forest Meteorol
Agricultural Economics,Agr Econ
Agricultural Economics Research,Agr Econ Res
Agricultural Education Magazine,Agr Educ Mag
Agricultural Engineering,Agr Eng
Agricultural History,Agr Hist
Agricultural History Review,Agr Hist Rev
Agricultural Materials as Renewable Resources,Acs Sym Ser
Agricultural Meteorology,Agr Meteorol
Agricultural Record,Agr Rec
Agricultural Research,Agr Res
Agricultural Science in Finland,Agr Sci Finland
Agricultural Systems,Agr Syst
Agricultural Uses of By-Products and Wastes,Acs Sym Ser
Agricultural Wastes,Agr Wastes
Agricultural Water Management,Agr Water Manage
Agriculture and Environment,Agr Environ
Agriculture Ecosystems & Environment,Agr Ecosyst Environ
Agriculture in Egypt,P Brit Acad
Agriculture in Northern Ireland,Agr Northern Ireland
Agro Food Industry Hi-Tech,Agro Food Ind Hi Tec
Agro-Ecosystems Agro-Ecosystems,Agro-Ecosystems Agro-Ecosystems
Agroborealis Agroborealis,Agroborealis Agroborealis
Agrochimica Agrochimica,Agrochimica Agrochimica
Agroforestry Systems,Agroforest Syst
Agrokemia Es Talajtan,Agrokem Talajtan
Agrologist Agrologist,Agrologist Agrologist
Agronomia Costarricense,Agron Costarric
Agronomie Agronomie,Agronomie Agronomie
Agronomie Tropicale,Agron Trop
Agronomy Journal,Agron J
Ai Applications,Ai Applications
Ai Applications in Natural Resource Management,Ai Appl Nat Res Man
Ai Communications,Ai Commun
Ai Edam-Artificial Intelligence for Engineering Design Analysis and Manufacturing,Ai Edam
Ai Magazine,Ai Mag
Aiaa Journal,Aiaa J
Aiche Journal,Aiche J
Aids Aids,Aids Aids
Aids & Public Policy Journal,Aids Public Policy J
Aids Care-Psychological and Socio-Medical Aspects of Aids/Hiv,Aids Care
Aids Education and Prevention,Aids Educ Prev
Aids Patient Care,Aids Patient Care
Aids Patient Care and Stds,Aids Patient Care St
Aids Research,Aids Res Hum Retrov
Aids Research and Human Retroviruses,Aids Res Hum Retrov
Aiie Transactions,Aiie T
Aip Conference Proceedings,Aip Conf Proc
Air Progress,Air Prog
Air Transportation,Transport Res Rec
Aircraft & Aerospace Asia-Pacific,Aircr Aerosp Asia-Pa
Aircraft Engineering and Aerospace Technology,Aircr Eng Aerosp Tec
Aktuelle Chirurgie,Aktuel Chir
Aktuelle Ernahrungsmedizin,Aktuel Ernahrungsmed
Aktuelle Neurologie,Aktuel Neurol
Aktuelle Rheumatologie,Aktuel Rheumatol
Aktuelle Urologie,Aktuel Urol
Akzente-Zeitschrift Fur Literatur,Akzente-Z Lit
Al-Qantara Al-Qantara,Al-Qantara Al-Qantara
Alabama Agricultural Experiment Station Bulletin,Ala Agr Exp Sta Bull
Alabama Agricultural Experiment Station Progress Report Series,Ala Agr Exp Sta Prog
Alabama Journal of Medical Sciences,Ala J Med Sci
Alabama Marine Resources Bulletin,Ala Mar Resour Bull
Alaska Agricultural and Forestry Experiment Station Bulletin,Alaska Afes Bull
Alberta Journal of Educational Research,Alberta J Educ Res
Albion Albion,Albion Albion
Alcatel Telecommunications Review,Alcatel Telecommun R
Alcheringa Alcheringa,Alcheringa Alcheringa
Alcohol Alcohol,Alcohol Alcohol
Alcohol and Alcoholism,Alcohol Alcoholism
Alcohol and Drug Research,Alcohol Drug Res
Alcohol Health & Research World,Alcohol Health Res W
Alcohol Research & Health,Alcohol Res Health
Alcoholism-Clinical and Experimental Research,Alcohol Clin Exp Res
Aldrichimica Acta,Aldrichim Acta
Algebra Colloquium,Algebr Colloq
Algebra Universalis,Algebra Univ
Algorithmica Algorithmica,Algorithmica Algorithmica
Alimenta Alimenta,Alimenta Alimenta
Alimentary Pharmacology & Therapeutics,Aliment Pharm Therap
Allelopathy Allelopathy,Acs Sym Ser
Allergologia Et Immunopathologia,Allergol Immunopath
Allergologie Allergologie,Allergologie Allergologie
Allergy Allergy,Allergy Allergy
Allergy and Asthma Proceedings,Allergy Asthma Proc
Allergy Proceedings,Allergy Proc
Allgemeine Forst Und Jagdzeitung,Allg Forst Jagdztg
Alta Frequenza,Alta Freq
Alternative Sources of Energy,Alternative Sourc En
Alternative Therapies in Health and Medicine,Altern Ther Health M
Alternatives Journal,Altern J
Alternatives-Perspectives on Society Technology and Environment,Altern-P Soc Tec
Alternatives-Social Transformation and Humane Governance,Altern-Soc Transform
Altex-Alternativen Zu Tierexperimenten,Altex-Altern Tierexp
Alzheimer Disease & Associated Disorders,Alz Dis Assoc Dis
Alzheimers Reports,Alzheimers Rep
Amazoniana-Limnologia Et Oecologia Regionalis Systemae Fluminis Amazonas,Amazoniana Amazoniana
Ambio Ambio,Ambio Ambio
Ameghiniana Ameghiniana,Ameghiniana Ameghiniana
Amerasia Journal,Amerasia J
American Annals of the Deaf,Am Ann Deaf
American Anthropologist,Am Anthropol
American Antiquity,Am Antiquity
American Archivist,Am Archivist
American Art Journal,Am Art J
American Bankruptcy Law Journal,Am Bankrupt Law J
American Bee Journal,Am Bee J
American Behavioral Scientist,Am Behav Sci
American Biology Teacher,Am Biol Teach
American Biotechnology Laboratory,Am Biotechnol Lab
American Book Review,Am Book Rev
American Business Law Journal,Am Bus Law J
American Cartographer,Am Cartographer
American Catholic Philosophical Quarterly,Am Cath Philos Quart
American Ceramic Society Bulletin,Am Ceram Soc Bull
American City & County,Am City County
American Criminal Law Review,Am Crim Law Rev
American Dyestuff Reporter,Am Dyest Rep
American Economic Review,Am Econ Rev
American Educational Research Journal,Am Educ Res J
American Ethnologist,Am Ethnol
American Family Physician,Am Fam Physician
American Fern Journal,Am Fern J
American Forests,Am Forests
American Heart Journal,Am Heart J
American Heritage,Am Heritage
