long_title,short_title
Advanced Biomedical Research,Adv Biomed Res
Advances in Cognitive Psychology,Adv Cogn Psychol
Advances in Dental Research,Adv Dent Res
Advances in Hematology,Adv Hematol
Advances in Medicine,Adv Med
Advances in Medical Education and Practice,Adv Med Educ Pract
Advances in Nutrition,Adv Nutr
Advances in Orthopedics,Adv Orthop
Advanced Pharmaceutical Bulletin,Adv Pharm Bull
Advances in Pharmacological Sciences,Adv Pharmacol Sci
Advances in Physiology Education,Adv Physiol Educ
Advances in Preventive Medicine,Adv Prev Med
Advances in Urology,Adv Urol
Advances in Virology,Adv Virol
Advances in Wound Care,Adv Wound Care (New Rochelle)
The Aesculapian,Aesculapian
Aesthetic Surgery Journal,Aesthet Surg J
African Health Sciences,Afr Health Sci
African Journal of Infectious Diseases,Afr J Infect Dis
"African Journal of Traditional, Complementary, and Alternative Medicines",Afr J Tradit Complement Altern Med
Age,Age (Dordr)
Age,Age (Omaha)
Age and Ageing,Age Ageing
Aging (Albany NY),Aging (Albany NY)
Aging Cell,Aging Cell
Aging and Disease,Aging Dis
AIDS Patient Care and STDs,AIDS Patient Care STDS
AIDS Research and Human Retroviruses,AIDS Res Hum Retroviruses
AIDS Research and Therapy,AIDS Res Ther
AIDS Research and Treatment,AIDS Res Treat
AIP Advances,AIP Adv
AJP Reports,AJP Rep
"Alcohol and Alcoholism (Oxford, Oxfordshire)",Alcohol Alcohol
Alcohol Research : Current Reviews,Alcohol Res
Alcohol Research &#x0026; Health,Alcohol Res Health
Algorithms for Molecular Biology : AMB,Algorithms Mol Biol
"Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology",Allergy Asthma Clin Immunol
"Allergy, Asthma &#x0026; Immunology Research",Allergy Asthma Immunol Res
Allergy and Asthma Proceedings,Allergy Asthma Proc
Allergy &#x0026; Rhinology,Allergy Rhinol (Providence)
Alzheimer's Research &#x0026; Therapy,Alzheimers Res Ther
American Health &#x0026; Drug Benefits,Am Health Drug Benefits
American Journal of Audiology,Am J Audiol
American Journal of Blood Research,Am J Blood Res
American Journal of Cancer Research,Am J Cancer Res
American Journal of Cardiovascular Disease,Am J Cardiovasc Dis
The American Journal of Case Reports,Am J Case Rep
American Journal of Clinical and Experimental Immunology,Am J Clin Exp Immunol
American Journal of Clinical and Experimental Urology,Am J Clin Exp Urol
The American Journal of Clinical Nutrition,Am J Clin Nutr
American Journal of Epidemiology,Am J Epidemiol
American Journal of Human Genetics,Am J Hum Genet
American Journal of Hypertension,Am J Hypertens
American Journal of Nephrology,Am J Nephrol
American Journal of Neurodegenerative Disease,Am J Neurodegener Dis
American Journal of Nuclear Medicine and Molecular Imaging,Am J Nucl Med Mol Imaging
The American Journal of Occupational Therapy,Am J Occup Ther
The American Journal of Pathology,Am J Pathol
American Journal of Pharmaceutical Education,Am J Pharm Educ
American Journal of Physiology - Cell Physiology,Am J Physiol Cell Physiol
American Journal of Physiology - Endocrinology and Metabolism,Am J Physiol Endocrinol Metab
American Journal of Physiology - Gastrointestinal and Liver Physiology,Am J Physiol Gastrointest Liver Physiol
American Journal of Physiology - Heart and Circulatory Physiology,Am J Physiol Heart Circ Physiol
American Journal of Physiology - Lung Cellular and Molecular Physiology,Am J Physiol Lung Cell Mol Physiol
"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology",Am J Physiol Regul Integr Comp Physiol
American Journal of Physiology - Renal Physiology,Am J Physiol Renal Physiol
American Journal of Public Health,Am J Public Health
"American Journal of Public Health (New York, N.Y. : 1912)",Am J Public Health (N Y)
American Journal of Public Health and the Nation's Health,Am J Public Health Nations Health
American Journal of Public Hygiene,Am J Public Hygiene
American Journal of Respiratory Cell and Molecular Biology,Am J Respir Cell Mol Biol
American Journal of Respiratory and Critical Care Medicine,Am J Respir Crit Care Med
American Journal of Rhinology &#x0026; Allergy,Am J Rhinol Allergy
American Journal of Speech-Language Pathology,Am J Speech Lang Pathol
American Journal of Stem Cells,Am J Stem Cells
American Journal of Translational Research,Am J Transl Res
The American Journal of Tropical Medicine and Hygiene,Am J Trop Med Hyg
AMB Express,AMB Express
Ambio,Ambio
AMIA Annual Symposium Proceedings,AMIA Annu Symp Proc
AMIA Summits on Translational Science Proceedings,AMIA Jt Summits Transl Sci Proc
Amphibian &#x0026; Reptile Conservation,Amphib Reptile Conserv
Anais Brasileiros de Dermatologia,An Bras Dermatol
Analytical cellular pathology (Amsterdam),Anal Cell Pathol (Amst)
Analytical Chemistry Insights,Anal Chem Insights
The Analysis of Verbal Behavior,Anal Verbal Behav
Anatomy &#x0026; Cell Biology,Anat Cell Biol
Anatomy Research International,Anat Res Int
Ancient Science of Life,Anc Sci Life
Anemia,Anemia
"Anesthesia, Essays and Researches",Anesth Essays Res
Anesthesiology and Pain Medicine,Anesth Pain Med
Anesthesia Progress,Anesth Prog
Anesthesiology Research and Practice,Anesthesiol Res Pract
Animals : an Open Access Journal from MDPI,Animals (Basel)
Annals of Advances in Automotive Medicine / Annual Scientific Conference,Ann Adv Automot Med
Annals of the American Thoracic Society,Ann Am Thorac Soc
Annals of Botany,Ann Bot
Annals of Burns and Fire Disasters,Ann Burns Fire Disasters
Annals of Cardiothoracic Surgery,Ann Cardiothorac Surg
Annals of Clinical Microbiology and Antimicrobials,Ann Clin Microbiol Antimicrob
Annals of Clinical and Translational Neurology,Ann Clin Transl Neurol
Annals of Coloproctology,Ann Coloproctol
Annals of Dermatology,Ann Dermatol
Annals of Family Medicine,Ann Fam Med
Annals of Gastroenterology : Quarterly Publication of the Hellenic Society of Gastroenterology,Ann Gastroenterol
Annals of General Hospital Psychiatry,Ann Gen Hosp Psychiatry
Annals of General Psychiatry,Ann Gen Psychiatry
Annales de G&#x000e9;n&#x000e9;tique et de S&#x000e9;lection Animale,Ann Genet Sel Anim
Annals of Ibadan Postgraduate Medicine,Ann Ib Postgrad Med
Annals of Indian Academy of Neurology,Ann Indian Acad Neurol
Annals of Intensive Care,Ann Intensive Care
Annals of Laboratory Medicine,Ann Lab Med
Annals of Maxillofacial Surgery,Ann Maxillofac Surg
Annals of Medical and Health Sciences Research,Ann Med Health Sci Res
Annals of Medicine and Surgery,Ann Med Surg (Lond)
Annales Nestl&#x000e9;,Ann Nestle Eng
Annals of Neurosciences,Ann Neurosci
Annals of Nutrition &#x0026; Metabolism,Ann Nutr Metab
Annals of Occupational and Environmental Medicine,Ann Occup Environ Med
Annals of Occupational Hygiene,Ann Occup Hyg
Annals of Oncology,Ann Oncol
Annals of Pediatric Cardiology,Ann Pediatr Cardiol
Annals of Pediatric Endocrinology &#x0026; Metabolism,Ann Pediatr Endocrinol Metab
Annals of The Royal College of Surgeons of England,Ann R Coll Surg Engl
Annals of Rehabilitation Medicine,Ann Rehabil Med
Annals of the Rheumatic Diseases,Ann Rheum Dis
Annals of Saudi Medicine,Ann Saudi Med
Annali di Stomatologia,Ann Stomatol (Roma)
Annals of Surgery,Ann Surg
Annals of Surgical Innovation and Research,Ann Surg Innov Res
Annals of Surgical Treatment and Research,Ann Surg Treat Res
Annals of Thoracic Medicine,Ann Thorac Med
Annals of Translational Medicine,Ann Transl Med
Annals of Tropical Medicine and Parasitology,Ann Trop Med Parasitol
Annals of Vascular Diseases,Ann Vasc Dis
Annual Meeting of the American Climatological Association,Annu Meet Amer Climatol Assoc
Annual Proceedings / Association for the Advancement of Automotive Medicine,Annu Proc Assoc Adv Automot Med
Antimicrobial Agents and Chemotherapy,Antimicrob Agents Chemother
Antimicrobial Resistance and Infection Control,Antimicrob Resist Infect Control
Antioxidants &#x0026; Redox Signaling,Antioxid Redox Signal
AoB Plants,AoB Plants
The Application of Clinical Genetics,Appl Clin Genet
Applied Clinical Informatics,Appl Clin Inform
Applied and Environmental Microbiology,Appl Environ Microbiol
Applied Mechanics Reviews,Appl Mech Rev
Applied Microbiology,Appl Microbiol
Applied Physics Letters,Appl Phys Lett
Applications in Plant Sciences,Appl Plant Sci
APSP Journal of Case Reports,APSP J Case Rep
Aquatic Biosystems,Aquat Biosyst
Arab Journal of Urology,Arab J Urol
The Arabidopsis Book / American Society of Plant Biologists,Arabidopsis Book
Archives of Bone and Joint Surgery,Arch Bone Jt Surg
Archives of Clinical Neuropsychology,Arch Clin Neuropsychol
Archives of Disease in Childhood,Arch Dis Child
Archives of Disease in Childhood. Fetal and Neonatal Edition,Arch Dis Child Fetal Neonatal Ed
Archives of Emergency Medicine,Arch Emerg Med
Archives of Medical Science : AMS,Arch Med Sci
Archives of Plastic Surgery,Arch Plast Surg
Archives of Public Health,Arch Public Health
Archives of Trauma Research,Arch Trauma Res
Archaea,Archaea
Arquivos Brasileiros de Cardiologia,Arq Bras Cardiol
Arthritis,Arthritis
Arthritis Research,Arthritis Res
Arthritis Research &#x0026; Therapy,Arthritis Res Ther
Arthroscopy Techniques,Arthrosc Tech
"Artificial DNA, PNA &#x0026; XNA",Artif DNA PNA XNA
ARYA Atherosclerosis,ARYA Atheroscler
Asia Pacific Allergy,Asia Pac Allergy
Asia Pacific Family Medicine,Asia Pac Fam Med
Asian Journal of Andrology,Asian J Androl
Asian Journal of Neurosurgery,Asian J Neurosurg
Asian Journal of Sports Medicine,Asian J Sports Med
Asian Journal of Transfusion Science,Asian J Transfus Sci
Asian Pacific Journal of Tropical Biomedicine,Asian Pac J Trop Biomed
Asian Pacific Journal of Tropical Disease,Asian Pac J Trop Dis
Asian Spine Journal,Asian Spine J
Asian-Australasian Journal of Animal Sciences,Asian-Australas J Anim Sci
ASN NEURO,ASN Neuro
Assay and Drug Development Technologies,Assay Drug Dev Technol
Association Medical Journal,Assoc Med J
Astrobiology,Astrobiology
Audiology &#x0026; Neurotology,Audiol Neurootol
Audiology Research,Audiol Res
Australia and New Zealand Health Policy,Aust New Zealand Health Policy
Australian Prescriber,Aust Prescr
Australasian Chiropractic &#x0026; Osteopathy,Australas Chiropr Osteopathy
The Australasian Medical Journal,Australas Med J
Autism Research and Treatment,Autism Res Treat
Auto-Immunity Highlights,Auto Immun Highlights
Autoimmune Diseases,Autoimmune Dis
Automated Experimentation,Autom Exp
Autophagy,Autophagy
Autopsy &#x0026; Case Reports,Autops Case Rep
Avicenna Journal of Medicine,Avicenna J Med
Avicenna Journal of Medical Biotechnology,Avicenna J Med Biotechnol
Avicenna Journal of Phytomedicine,Avicenna J Phytomed
Ayu,Ayu
Bacteriological Reviews,Bacteriol Rev
Bacteriophage,Bacteriophage
Balkan Journal of Medical Genetics : BJMG,Balkan J Med Genet
Balkan Medical Journal,Balkan Med J
Development &#x0026; Reproduction,Balsaenggwa Saengsig
Bariatric Surgical Practice and Patient Care,Bariatr Surg Pract Patient Care
Basic and Clinical Andrology,Basic Clin Androl
Basic and Clinical Neuroscience,Basic Clin Neurosci
BBA Clinical,BBA Clin
The Behavior Analyst,Behav Anal
Behavior Analysis in Practice,Behav Anal Pract
Behavioral and Brain Functions : BBF,Behav Brain Funct
Behavioral Ecology,Behav Ecol
Behavioral Medicine,Behav Med
Behavioural Neurology,Behav Neurol
Behavioral Sciences,Behav Sci (Basel)
Beilstein Journal of Nanotechnology,Beilstein J Nanotechnol
Beilstein Journal of Organic Chemistry,Beilstein J Org Chem
Big Data,Big Data
Bioarchitecture,Bioarchitecture
Biochemistry Insights,Biochem Insights
Biochemical Journal,Biochem J
Biochemia Medica,Biochem Med (Zagreb)
Biochemistry Research International,Biochem Res Int
BioData Mining,BioData Min
Biodiversity Data Journal,Biodivers Data J
Bioengineered Bugs,Bioeng Bugs
Bioengineered,Bioengineered
BioImpacts : BI,Bioimpacts
Bioinformatics and Biology Insights,Bioinform Biol Insights
Bioinformatics,Bioinformatics
Bioinformation,Bioinformation
Bioinorganic Chemistry and Applications,Bioinorg Chem Appl
Biointerphases,Biointerphases
Biology Direct,Biol Direct
Biology Letters,Biol Lett
Biology of Mood &#x0026; Anxiety Disorders,Biol Mood Anxiety Disord
Biology Open,Biol Open
Biological Procedures Online,Biol Proced Online
Biology of Reproduction,Biol Reprod
Biological Research,Biol Res
Biology of Sex Differences,Biol Sex Differ
Biology of Sport,Biol Sport
Biologics in Therapy,Biol Ther
Biologics : Targets &#x0026; Therapy,Biologics
Biology,Biology (Basel)
Biomagnetic Research and Technology,Biomagn Res Technol
Biomarkers in Cancer,Biomark Cancer
Biomarker Insights,Biomark Insights
Biomarker Research,Biomark Res
Biomaterials Research,Biomater Res
Biomatter,Biomatter
Biomedical Digital Libraries,Biomed Digit Libr
Biomedical Engineering and Computational Biology,Biomed Eng Comput Biol
BioMedical Engineering OnLine,Biomed Eng Online
Biomedical Imaging and Intervention Journal,Biomed Imaging Interv J
Biomedical Informatics Insights,Biomed Inform Insights
Biomedical Optics Express,Biomed Opt Express
Biomedical Reports,Biomed Rep
BioMed Research International,Biomed Res Int
BioMedicine,Biomedicine (Taipei)
Biometrika,Biometrika
Biomicrofluidics,Biomicrofluidics
Biomolecules &#x0026; Therapeutics,Biomol Ther (Seoul)
Biomolecules,Biomolecules
Biophysical Journal,Biophys J
Biopreservation and Biobanking,Biopreserv Biobank
Biopsychosocial Medicine,Biopsychosoc Med
BioResearch Open Access,Biores Open Access
"Bioscience of Microbiota, Food and Health",Biosci Microbiota Food Health
Bioscience and Microflora,Biosci Microflora
Bioscience Reports,Biosci Rep
"Biosecurity and Bioterrorism : Biodefense Strategy, Practice, and Science",Biosecur Bioterror
Biosensors,Biosensors (Basel)
"Biostatistics (Oxford, England)",Biostatistics
Biotechnology for Biofuels,Biotechnol Biofuels
Biotechnology Healthcare,Biotechnol Healthc
Biotechnology Law Report,Biotechnol Law Rep
Biotechnology Research International,Biotechnol Res Int
BJPsych Bulletin,BJPsych Bull
Blood,Blood
Blood Cancer Journal,Blood Cancer J
Blood Purification,Blood Purif
Blood research,Blood Res
Blood Transfusion,Blood Transfus
BMB Reports,BMB Rep
BMC Anesthesiology,BMC Anesthesiol
BMC Biochemistry,BMC Biochem
BMC Bioinformatics,BMC Bioinformatics
BMC Biology,BMC Biol
BMC Biophysics,BMC Biophys
BMC Biotechnology,BMC Biotechnol
BMC Blood Disorders,BMC Blood Disord
BMC Cancer,BMC Cancer
BMC Cardiovascular Disorders,BMC Cardiovasc Disord
BMC Cell Biology,BMC Cell Biol
BMC Chemical Biology,BMC Chem Biol
BMC Clinical Pathology,BMC Clin Pathol
BMC Clinical Pharmacology,BMC Clin Pharmacol
BMC Complementary and Alternative Medicine,BMC Complement Altern Med
BMC Dermatology,BMC Dermatol
BMC Developmental Biology,BMC Dev Biol
"BMC Ear, Nose, and Throat Disorders",BMC Ear Nose Throat Disord
BMC Ecology,BMC Ecol
BMC Emergency Medicine,BMC Emerg Med
BMC Endocrine Disorders,BMC Endocr Disord
BMC Evolutionary Biology,BMC Evol Biol
BMC Family Practice,BMC Fam Pract
BMC Gastroenterology,BMC Gastroenterol
BMC Genetics,BMC Genet
BMC Genomics,BMC Genomics
BMC Geriatrics,BMC Geriatr
BMC Health Services Research,BMC Health Serv Res
BMC Hematology,BMC Hematol
BMC Immunology,BMC Immunol
BMC Infectious Diseases,BMC Infect Dis
BMC International Health and Human Rights,BMC Int Health Hum Rights
BMC Medicine,BMC Med
BMC Medical Education,BMC Med Educ
BMC Medical Ethics,BMC Med Ethics
BMC Medical Genetics,BMC Med Genet
BMC Medical Genomics,BMC Med Genomics
BMC Medical Imaging,BMC Med Imaging
BMC Medical Informatics and Decision Making,BMC Med Inform Decis Mak
BMC Medical Physics,BMC Med Phys
BMC Medical Research Methodology,BMC Med Res Methodol
BMC Microbiology,BMC Microbiol
BMC Molecular Biology,BMC Mol Biol
BMC Musculoskeletal Disorders,BMC Musculoskelet Disord
BMC Nephrology,BMC Nephrol
BMC Neurology,BMC Neurol
BMC Neuroscience,BMC Neurosci
BMC Nuclear Medicine,BMC Nucl Med
BMC Nursing,BMC Nurs
BMC obesity,BMC Obes
BMC Ophthalmology,BMC Ophthalmol
BMC Oral Health,BMC Oral Health
BMC Palliative Care,BMC Palliat Care
BMC Pediatrics,BMC Pediatr
BMC Pharmacology,BMC Pharmacol
BMC Pharmacology &#x0026; Toxicology,BMC Pharmacol Toxicol
BMC Physiology,BMC Physiol
BMC Plant Biology,BMC Plant Biol
BMC Pregnancy and Childbirth,BMC Pregnancy Childbirth
BMC Proceedings,BMC Proc
BMC Psychiatry,BMC Psychiatry
BMC Psychology,BMC Psychol
BMC Public Health,BMC Public Health
BMC Pulmonary Medicine,BMC Pulm Med
BMC Research Notes,BMC Res Notes
"BMC Sports Science, Medicine and Rehabilitation",BMC Sports Sci Med Rehabil
BMC Structural Biology,BMC Struct Biol
BMC Surgery,BMC Surg
BMC Systems Biology,BMC Syst Biol
BMC Urology,BMC Urol
BMC Veterinary Research,BMC Vet Res
BMC Women's Health,BMC Womens Health
BMJ : British Medical Journal,BMJ
BMJ Case Reports,BMJ Case Rep
BMJ Clinical Evidence,BMJ Clin Evid
BMJ Open,BMJ Open
BMJ Open Diabetes Research &#x0026; Care,BMJ Open Diabetes Res Care
BMJ Open Gastroenterology,BMJ Open Gastroenterol
BMJ Open Respiratory Research,BMJ Open Respir Res
Bone &#x0026; Joint Research,Bone Joint Res
Bone Marrow Research,Bone Marrow Res
Bone Research,Bone Res
BoneKEy Reports,Bonekey Rep
Borderline Personality Disorder and Emotion Dysregulation,Borderline Personal Disord Emot Dysregul
Bosnian Journal of Basic Medical Sciences,Bosn J Basic Med Sci
British Heart Journal,Br Heart J
BJA: British Journal of Anaesthesia,Br J Anaesth
British Journal of Cancer,Br J Cancer
The British Journal of Cancer. Supplement,Br J Cancer Suppl
British Journal of Clinical Pharmacology,Br J Clin Pharmacol
British Journal of Experimental Pathology,Br J Exp Pathol
The British Journal of General Practice,Br J Gen Pract
British Journal of Industrial Medicine,Br J Ind Med
The British Journal of Ophthalmology,Br J Ophthalmol
British Journal of Pain,Br J Pain
British Journal of Pharmacology,Br J Pharmacol
British Journal of Pharmacology and Chemotherapy,Br J Pharmacol Chemother
British Journal of Preventive &#x0026; Social Medicine,Br J Prev Soc Med
The British Journal of Radiology,Br J Radiol
British Journal of Social Medicine,Br J Soc Med
British Journal of Sports Medicine,Br J Sports Med
The British Journal of Venereal Diseases,Br J Vener Dis
British Medical Bulletin,Br Med Bull
British Medical Journal,Br Med J
British Medical Journal (Clinical Research Ed.),Br Med J (Clin Res Ed)
Brain,Brain
Brain and Behavior,Brain Behav
"Brain, Behavior and Evolution",Brain Behav Evol
Brain Connectivity,Brain Connect
Brain Sciences,Brain Sci
Brain Tumor Research and Treatment,Brain Tumor Res Treat
Brazilian Journal of Medical and Biological Research,Braz J Med Biol Res
Brazilian Journal of Microbiology,Braz J Microbiol
Brazilian Journal of Physical Therapy,Braz J Phys Ther
Breast Cancer : Basic and Clinical Research,Breast Cancer (Auckl)
Breast Cancer : Targets and Therapy,Breast Cancer (Dove Med Press)
Breast Cancer Research : BCR,Breast Cancer Res
Breast Care,Breast Care (Basel)
Breastfeeding Medicine,Breastfeed Med
Breathe,Breathe (Sheff)
Breeding Science,Breed Sci
Briefings in Bioinformatics,Brief Bioinform
Briefings in Functional Genomics and Proteomics,Brief Funct Genomic Proteomic
Briefings in Functional Genomics,Brief Funct Genomics
Bulletin of the Association of Medical Librarians,Bull Assoc Med Libr
Bulletin - British Association of Sport and Medicine,Bull Br Assoc Sport Med
Bulletin of the Medical Library Association,Bull Med Libr Assoc
Bulletin of the New York Academy of Medicine,Bull N Y Acad Med
Bulletins of the Public Health,Bull Public Health
Bulletin of the World Health Organization. Supplement,Bull World Health Org Suppl
Bulletin of the World Health Organization,Bull World Health Organ
CADTH Technology Overviews,CADTH Technol Overv
The California Journal of Emergency Medicine,Cal J Emerg Med
California State Journal of Medicine,Cal State J Med
California and Western Medicine,Cal West Med
California Medicine,Calif Med
The Canadian Child and Adolescent Psychiatry Review,Can Child Adolesc Psychiatr Rev
Canadian Family Physician,Can Fam Physician
Canadian Geriatrics Journal,Can Geriatr J
The Canadian Journal of Cardiology,Can J Cardiol
Canadian Journal of Comparative Medicine,Can J Comp Med
Canadian Journal of Comparative Medicine,Can J Comp Med
Canadian Journal of Comparative Medicine and Veterinary Science,Can J Comp Med Vet Sci
Canadian Journal of Gastroenterology,Can J Gastroenterol
Canadian Journal of Gastroenterology &#x0026; Hepatology,Can J Gastroenterol Hepatol
The Canadian Journal of Hospital Pharmacy,Can J Hosp Pharm
The Canadian Journal of Infectious Diseases,Can J Infect Dis
The Canadian Journal of Infectious Diseases &#x0026; Medical Microbiology,Can J Infect Dis Med Microbiol
Canadian Journal of Kidney Health and Disease,Can J Kidney Health Dis
The Canadian Journal of Plastic Surgery,Can J Plast Surg
Canadian Journal of Psychiatry. Revue Canadienne de Psychiatrie,Can J Psychiatry
Canadian Journal of Respiratory Therapy: CJRT = Revue Canadienne de la Th&#x000e9;rapie Respiratoire : RCTR,Can J Respir Ther
Canadian Journal of Surgery,Can J Surg
Canadian Journal of Veterinary Research,Can J Vet Res
Canadian Medical Association Journal,Can Med Assoc J
Canadian Medical Education Journal,Can Med Educ J
Canadian Pharmacists Journal : CPJ,Can Pharm J (Ott)
Canadian Respiratory Journal : Journal of the Canadian Thoracic Society,Can Respir J
Canadian Urological Association Journal,Can Urol Assoc J
The Canadian Veterinary Journal,Can Vet J
Cancer Biology &#x0026; Medicine,Cancer Biol Med
Cancer Biology &#x0026; Therapy,Cancer Biol Ther
Cancer Biotherapy &#x0026; Radiopharmaceuticals,Cancer Biother Radiopharm
Cancer Cell International,Cancer Cell Int
Cancer Growth and Metastasis,Cancer Growth Metastasis
Cancer Imaging,Cancer Imaging
Cancer Immunity,Cancer Immun
Cancer Informatics,Cancer Inform
Cancer Management and Research,Cancer Manag Res
Cancer Medicine,Cancer Med
Cancer &#x0026; Metabolism,Cancer Metab
Cancer Microenvironment,Cancer Microenviron
Cancer Research and Treatment : Official Journal of Korean Cancer Association,Cancer Res Treat
Cancer Science,Cancer Sci
Cancers,Cancers (Basel)
Canine Genetics and Epidemiology,Canine Genet Epidemiol
Carbon Balance and Management,Carbon Balance Manag
Carcinogenesis,Carcinogenesis
Cardiology Research and Practice,Cardiol Res Pract
Cardiology and Therapy,Cardiol Ther
Cardiology,Cardiology
Cardiopulmonary Physical Therapy Journal,Cardiopulm Phys Ther J
Cardiorenal Medicine,Cardiorenal Med
Cardiovascular Diabetology,Cardiovasc Diabetol
Cardiovascular Diagnosis and Therapy,Cardiovasc Diagn Ther
Cardiovascular Diseases,Cardiovasc Dis
Cardiovascular Journal of Africa,Cardiovasc J Afr
Cardiovascular Psychiatry and Neurology,Cardiovasc Psychiatry Neurol
Cardiovascular Research,Cardiovasc Res
Cardiovascular Ultrasound,Cardiovasc Ultrasound
Caries Research,Caries Res
Cartilage,Cartilage
Case Reports in Anesthesiology,Case Rep Anesthesiol
Case Reports in Cardiology,Case Rep Cardiol
Case Reports in Critical Care,Case Rep Crit Care
Case Reports in Dentistry,Case Rep Dent
Case Reports in Dermatology,Case Rep Dermatol
Case Reports in Dermatological Medicine,Case Rep Dermatol Med
Case Reports in Emergency Medicine,Case Rep Emerg Med
Case Reports in Endocrinology,Case Rep Endocrinol
Case Reports in Gastroenterology,Case Rep Gastroenterol
Case Reports in Gastrointestinal Medicine,Case Rep Gastrointest Med
Case Reports in Genetics,Case Rep Genet
Case Reports in Hematology,Case Rep Hematol
Case Reports in Infectious Diseases,Case Rep Infect Dis
Case Reports in Medicine,Case Rep Med
Case Reports in Nephrology,Case Rep Nephrol
Case Reports in Nephrology and Dialysis,Case Rep Nephrol Dial
Case Reports in Nephrology and Urology,Case Rep Nephrol Urol
Case Reports in Neurology,Case Rep Neurol
Case Reports in Neurological Medicine,Case Rep Neurol Med
Case Reports in Obstetrics and Gynecology,Case Rep Obstet Gynecol
Case Reports in Oncology,Case Rep Oncol
Case Reports in Oncological Medicine,Case Rep Oncol Med
Case Reports in Ophthalmology,Case Rep Ophthalmol
Case Reports in Ophthalmological Medicine,Case Rep Ophthalmol Med
Case Reports in Orthopedics,Case Rep Orthop
Case Reports in Otolaryngology,Case Rep Otolaryngol
Case Reports in Pathology,Case Rep Pathol
Case Reports in Pediatrics,Case Rep Pediatr
Case Reports in Psychiatry,Case Rep Psychiatry
Case Reports in Pulmonology,Case Rep Pulmonol
Case Reports in Radiology,Case Rep Radiol
Case Reports in Rheumatology,Case Rep Rheumatol
Case Reports in Surgery,Case Rep Surg
Case Reports in Transplantation,Case Rep Transplant
Case Reports in Urology,Case Rep Urol
Case Reports in Vascular Medicine,Case Rep Vasc Med
Case Reports in Hepatology,Case Reports Hepatol
Case Reports in Immunology,Case Reports Immunol
Cases Journal,Cases J
Caspian Journal of Internal Medicine,Caspian J Intern Med
CBE Life Sciences Education,CBE Life Sci Educ
Cell Adhesion &#x0026; Migration,Cell Adh Migr
Cell Biology Education,Cell Biol Educ
Cell Biology International Reports,Cell Biol Int Rep (2010)
Cell &#x0026; Bioscience,Cell Biosci
Cell &#x0026; Chromosome,Cell Chromosome
Cell Communication and Signaling : CCS,Cell Commun Signal
Cell Cycle,Cell Cycle
Cell Death and Differentiation,Cell Death Differ
Cell Death &#x0026; Disease,Cell Death Dis
Cell Division,Cell Div
Cell Journal (Yakhteh),Cell J
Cellular Logistics,Cell Logist
Cellular and Molecular Immunology,Cell Mol Immunol
Cellular Physiology and Biochemistry,Cell Physiol Biochem
Cell Regeneration,Cell Regen (Lond)
Cell Regulation,Cell Regul
